ABEV,4.91,0.46,0.60,-2,4.79,5.02,12,-1,-1,-7,5.28,4.77,10,1,5.47,1,7,4.94,10,2,0,0,0,0,0,0,5,4.66,1,9,2,-5,1,10,51732700,25956298,99.3,70,0,5
ABG,74.75,5.91,7.69,-1,73.55,76.05,7,7,7,2,78.17,69.13,1,1,79.91,1,10,75.40,10,3,0,0,76.38,80.8,0,0,3,67.34,8,5,1,5,2,3,121300,193193,-37.2,50,85,4
ABIL,4.70,1.44,1.87,-1,4.39,5.06,12,-4,0,-6,5.10,3.97,5,0,5.25,0,10,4.71,6,2,0,0,0,0,0,0,1,3.49,8,7,2,0,1,10,196100,434401,-54.9,30,0,7
ABM,31.85,2.99,3.89,6,31.10,32.45,7,5,4,4,33.82,28.68,1,1,34.71,2,8,31.92,5,1,0,0,0,0,0,0,6,27.51,9,1,1,10,3,0,159900,648297,-75.3,0,40,3
ABMD,358.82,41.90,54.46,-5,347.55,370.23,12,-7,-8,-5,407.42,347.91,2,2,420.01,2,3,358.57,5,1,0,0,0,0,0,0,-8,334.67,7,4,2,-10,1,10,442100,574719,-23.1,60,0,-3
ABR,11.62,0.70,0.92,7,11.41,11.79,7,7,3,4,12.06,10.87,6,1,12.27,1,10,11.65,5,1,0,0,11.77,12.29,0,0,6,10.62,3,8,1,10,2,4,1025800,1061155,-3.3,0,40,2
ABT,64.72,4.12,5.35,7,63.55,65.58,4,4,0,4,67.68,60.80,3,1,68.91,1,9,65.43,1,1,0,0,0,0,0,0,6,59.55,10,1,1,10,2,1,4763000,5538399,-14,40,35,4
ABUS,9.10,1.83,2.37,0,8.64,9.61,12,-6,-7,-7,10.74,8.42,3,0,11.28,1,9,8.94,8,1,8.65,7.4,0,0,0,0,0,7.81,3,4,1,5,1,10,164700,284485,-42.1,100,0,3
ABX,10.02,1.06,1.37,-5,9.76,10.25,12,-9,-9,-8,11.07,10.42,9,1,11.39,1,8,10.00,8,1,9.83,9.09,0,0,0,0,6,10.09,11,10,2,-10,1,10,17192300,11158853,54.1,40,0,-1
ACAD,13.03,2.83,3.68,-8,12.44,13.84,0,-8,-7,-7,16.17,12.47,6,2,17.01,2,3,0,0,0,0,0,0,0,0,0,-5,11.53,12,6,2,-10,0,10,2895000,2925619,-1,60,0,-5
ACBI,18.25,1.22,1.59,5,17.95,18.60,12,-6,-7,4,18.98,17.50,3,1,19.51,0,10,18.17,6,2,0,0,0,0,0,0,4,17.13,7,2,1,10,2,5,43300,89784,-51.8,30,0,6
ACC,42.07,2.54,3.30,7,41.37,42.58,7,1,-2,6,43.11,39.11,1,1,44.08,1,10,42.22,3,1,0,0,0,0,0,0,8,38.34,0,1,1,10,2,1,384200,839801,-54.3,0,45,1
ACCO,12.05,0.99,1.28,-5,11.82,12.27,11,-9,-9,-8,12.90,12.45,8,1,13.18,2,3,11.86,7,3,0,0,0,0,0,0,7,12.02,7,7,1,10,0,10,598900,503912,18.9,70,0,7
ACET,3.26,1.11,1.44,2,3.05,3.47,1,-1,0,1,4.32,2.15,1,1,4.65,2,6,3.23,2,2,0,0,0,0,0,0,3,1.82,12,1,0,0,2,3,168200,517425,-67.5,70,70,4
ACGL,30.63,1.77,2.30,7,30.15,31.11,7,8,6,4,31.79,28.59,1,1,32.32,1,10,30.90,1,1,0,0,31.20,32.5,0,0,5,28.06,2,1,1,10,3,0,732700,1849381,-60.4,10,50,1
ACGLP,23.88,0.48,0.62,-1,23.79,23.97,1,-2,0,-1,24.35,23.45,1,2,24.42,2,2,23.86,9,3,0,0,0,0,0,0,1,23.31,0,1,2,-5,1,5,25700,42027,-38.8,70,70,4
ACH,9.84,1.86,2.42,1,9.36,10.20,12,-5,-3,-6,11.40,8.93,7,1,12.04,1,6,9.79,7,3,9.49,8.13,0,0,0,0,0,8.35,1,9,1,5,1,10,85700,77592,10.4,95,30,10
ACHC,39.19,3.97,5.16,4,38.33,39.95,12,-6,-7,-7,42.50,38.05,1,1,43.20,2,3,39.20,3,1,0,0,0,0,0,0,5,36.80,7,1,1,10,1,10,364000,953448,-61.8,70,0,5
ACHN,2.53,0.40,0.53,-6,2.43,2.63,12,-6,-5,-5,2.87,2.31,1,2,2.99,1,6,2.53,1,1,2.46,2.17,0,0,0,0,-6,2.19,11,2,2,-10,1,10,585800,1266235,-53.7,65,0,-2
ACHV,2.80,1.62,2.11,-3,2.49,3.10,12,-4,-2,-4,4.42,1.54,6,0,4.88,1,5,2.89,6,2,2.63,1.4,0,0,0,0,-2,0.99,1,5,2,-5,1,10,44400,314341,-85.9,95,70,7
ACIA,37.60,3.62,4.70,-7,36.60,38.65,12,7,8,-5,39.00,35.78,8,0,40.31,0,10,37.64,4,2,0,0,0,0,0,0,-7,34.17,10,5,2,-5,2,9,1037200,814023,27.4,0,0,4
ACIU,8.56,1.95,2.53,-5,8.13,8.98,12,-9,-9,-7,10.71,9.56,5,2,11.29,2,0,8.78,5,2,8.47,7.08,0,0,0,0,-5,8.78,7,5,2,-5,1,10,55400,98592,-43.8,75,0,6
ACIW,26.95,1.83,2.38,-4,26.54,27.34,3,4,4,-2,28.53,25.34,3,0,29.08,1,9,26.54,7,3,0,0,0,0,0,0,-1,25.03,10,1,2,-5,2,3,479100,589369,-18.7,60,60,4
ACLS,19.20,2.62,3.40,-9,18.63,19.90,5,-7,-3,-9,22.76,19.96,9,2,23.56,3,0,19.79,6,2,19.36,17.44,0,0,1,0,-9,19.13,1,4,2,-10,0,10,532400,354127,50.3,25,0,-5
ACM,32.91,1.92,2.49,7,32.35,33.34,12,0,2,-6,34.38,31.90,3,1,34.95,2,5,32.82,7,2,0,0,0,0,0,0,5,31.32,1,7,1,10,2,8,672800,837033,-19.6,50,0,10
ACMR,12.75,2.73,3.55,-4,12.06,13.33,12,0,3,-6,15.57,11.62,3,2,16.38,2,1,12.83,10,4,0,0,0,0,0,0,-4,10.81,9,4,2,-5,2,7,18200,71175,-74.4,75,0,3
ACN,164.89,8.46,11.00,9,162.29,167.04,6,2,-5,6,167.72,155.60,8,1,171.23,0,10,163.21,10,4,0,0,0,0,0,0,8,152.51,8,6,1,10,3,0,2705600,2115459,27.9,0,5,5
ACOR,28.20,3.25,4.22,-1,27.45,28.95,7,2,-1,8,28.32,24.67,1,1,29.28,1,10,28.41,10,3,0,0,0,0,0,0,5,23.72,0,1,1,5,2,3,228400,478629,-52.3,0,90,1
ACP,14.21,0.42,0.55,7,14.09,14.33,6,6,5,6,14.39,13.79,8,0,14.52,1,8,14.14,10,4,0,0,0,0,0,0,-8,13.64,9,9,1,5,2,2,69200,58465,18.4,0,25,4
ACRE,14.13,0.59,0.77,5,14.01,14.25,7,3,1,5,14.45,13.48,3,1,14.63,1,10,14.16,10,4,0,0,14.26,14.72,0,0,4,13.30,3,1,1,10,1,5,87200,105683,-17.5,35,75,1
ACRS,15.65,2.14,2.78,-7,15.08,16.19,12,-9,-8,-8,17.83,16.26,2,2,18.64,1,8,15.84,1,1,15.50,14,0,0,0,0,-4,15.84,7,3,2,-5,1,10,170200,252972,-32.7,100,0,2
ACRX,3.05,0.56,0.73,0,2.93,3.18,7,0,2,6,3.26,2.51,8,2,3.43,1,10,3.13,10,3,0,0,0,0,0,0,-4,2.31,7,7,1,5,1,8,668000,549535,21.6,0,90,1
ACSF,12.30,0.53,0.68,0,12.20,12.40,1,0,-2,1,12.78,11.78,1,1,12.93,1,7,12.25,8,1,12.17,11.77,0,0,0,0,3,11.62,3,8,1,5,0,10,18900,43224,-56.3,70,70,2
ACTG,3.90,0.44,0.58,6,3.77,4.02,7,1,1,5,4.18,3.45,1,1,4.31,2,6,3.92,10,4,0,0,0,0,0,0,0,3.36,0,1,1,5,3,0,88500,206343,-57.1,0,75,1
ACV,24.72,1.01,1.31,6,24.44,24.93,6,7,5,4,25.32,23.59,7,1,25.62,0,10,24.53,2,1,0,0,24.69,25.44,0,1,3,23.39,10,3,1,10,3,2,51600,48904,5.5,0,30,9
ACWI,72.56,2.87,3.73,6,71.78,73.17,12,-1,-2,-5,74.94,70.74,3,1,75.66,1,5,73.01,10,4,0,0,0,0,0,0,5,69.88,0,5,1,10,2,7,1409900,1959781,-28.1,90,10,9
ACWV,86.19,2.12,2.76,9,85.51,86.69,7,6,2,5,87.35,83.76,9,1,87.99,1,10,85.84,9,2,0,0,0,0,0,0,7,83.35,10,7,1,10,2,0,309300,146911,110.5,0,25,2
ACWX,46.76,1.83,2.38,7,46.28,47.11,12,-6,-5,-8,48.13,46.54,6,1,48.56,1,6,46.53,8,2,46.23,44.9,0,0,0,0,6,45.99,12,8,1,10,1,10,475500,533153,-10.8,75,0,7
ACXM,44.33,3.96,5.15,4,43.29,45.25,7,7,1,8,44.90,39.94,5,0,46.08,1,10,44.08,7,2,0,0,44.76,47.9,0,0,2,38.69,3,4,1,5,1,8,717000,851364,-15.8,0,100,0
ADAP,8.48,1.44,1.88,0,8.15,8.83,12,-8,-8,-6,10.03,8.52,1,2,10.46,2,4,8.52,8,3,0,0,0,0,0,0,-7,7.84,11,1,2,-10,1,10,287800,427431,-32.7,65,0,1
ADBE,245.70,20.59,26.76,-8,240.87,251.79,12,-4,-3,-5,270.72,233.02,6,2,276.93,2,3,245.62,9,3,0,0,0,0,0,0,-6,227.12,8,5,2,-10,2,6,2721900,2826919,-3.7,40,0,1
ADC,55.89,2.81,3.65,8,55.07,56.63,0,7,4,8,55.98,52.19,1,1,56.81,0,10,0,0,0,0,0,0,0,0,0,6,51.33,8,1,1,10,2,0,91300,198969,-54.1,0,30,6
ADES,11.05,0.93,1.21,-6,10.83,11.34,12,-4,-1,-4,12.14,10.40,1,2,12.42,2,1,11.05,10,4,0,0,0,0,0,0,-9,10.12,0,1,1,5,2,8,54800,114007,-51.9,35,0,4
ADI,94.58,6.57,8.55,3,93.14,95.95,12,-4,-4,-6,100.56,91.72,8,1,101.79,2,3,94.51,10,4,0,0,0,0,0,0,3,89.58,7,5,1,5,1,10,2869400,2422128,18.5,85,0,7
ADM,50.55,2.94,3.82,8,49.65,51.29,6,8,7,4,51.89,47.52,10,1,52.76,0,10,50.07,3,1,0,0,50.55,52.69,0,1,6,46.32,10,10,1,10,1,9,5963300,3778900,57.8,0,35,8
ADMA,5.60,0.91,1.19,-7,5.37,5.85,12,4,7,-7,6.41,5.34,5,1,6.80,1,8,5.55,6,2,0,0,0,0,0,0,4,5.04,10,8,2,-5,1,10,133100,174453,-23.7,100,0,6
